Site Code,Site Name,Site Responsible,Site Latitude,Site Longitude,IGBP Cde
DE-Geb,Gebesee,Christian Brümmer,51.09973,10.91463,CRO
DE-Gri,Grillenburg,Christian Bernhofer,50.95004,13.51259,GRA
DE-GsB,Grosses Bruch,Corinna Rebmann ,52.029647,11.10478,GRA
DE-Gwg,Graswang,Hans Peter Schmid,47.57083,11.03261,GRA
DE-Hai,Hainich,Olaf Kolle| Alexander Knohl,51.079213,10.452168,DBF
DE-Har,Hartheim,Andreas Christen,47.93391,7.59814,ENF
DE-Hmm,Himmelmoor,Lars Kutzbach,53.739807,9.848723,WET
DE-HoH,Hohes Holz,Corinna Rebmann ,52.085306,11.219222,DBF
DE-Hte,Huetelmoor,Gerald Jurasinski,54.210278,12.176111,WET
DE-Hzd,Hetzdorf,Christian Bernhofer,50.96381,13.48978,DBF
DE-Kan,Kannenbruch,Werner Kutsch,53.784328,10.604899,DBF
DE-Kie,Kienhorst,Alexander Russ,52.97343,13.64393,ENF
DE-Kli,Klingenberg,Christian Bernhofer,50.89306,13.52238,CRO
DE-Lkb,Lackenberg,Rainer Steinbrecher,49.09961667,13.30466667,ENF
DE-Lnf,Leinefelde,Alexander Knohl,51.3282167,10.3678,DBF
DE-Me2,Mehrstedt 2,Axel Don,51.275366,10.65555,GRA
DE-Meh,Mehrstedt,Axel Don,51.27530556,10.65547222,MF
DE-Msr,Mooseurach,Matthias Drösler,47.80911,11.45617,ENF
DE-Obe,Oberbärenburg,Christian Bernhofer,50.78666,13.72129,ENF
DE-Okd,Oberklenkendorf,Christian Brümmer,53.412597,9.092467,GRA
DE-RbW,Rottenbuch West,Rainer Steinbrecher,47.72991,10.96898,GRA
DE-RuR,Rollesbroich,Marius Schmidt,50.6219142,6.3041256,GRA
DE-RuS,Selhausen Juelich,Marius Schmidt| Alexander Graf,50.86590702,6.447144704,CRO
DE-RuW,Wustebach,Marius Schmidt,50.50490703,6.33101886,ENF
DE-Sch,Schönau,John Tenhunen,47.6,12.96666667,GRA
DE-Seh,Selhausen,Karl Schneider,50.8706233,6.44965306,CRO
DE-SfN,Schechenfilz Nord,Hans Peter Schmid,47.806389,11.3275,WET
DE-Sng,Solling,Alexander Knohl,51.75813,9.59333,ENF
DE-Spw,Spreewald,Christian Bernhofer,51.89225,14.03369,WET
DE-Tha,Tharandt,Christian Bernhofer,50.96256,13.56515,ENF
DE-UtM,Uchter Moor,Carsten Schaller,52.5083,8.825833,WET
DE-Wet,Wetzstein,Corinna Rebmann | Olaf Kolle,50.4535,11.45753333,ENF
DE-Zrk,Zarnekow,Torsten Sachs,53.875943,12.88901,WET
DK-Eng,Enghave,Kim Pilegaard,55.69052778,12.19175,GRA
DK-Fou,Foulum,Joergen Olesen,56.48419952,9.587220192,CRO
DK-Gds,Gludsted Plantage,Thomas Friborg,56.0737,9.3341,ENF
DK-Lva,Rimi,Kim Pilegaard,55.68330002,12.08329964,GRA
DK-MkA,Morke E-AR,Søren O. Petersen,56.38131,10.39461,CRO
DK-MkG,Morke E-PG,Søren O. Petersen,56.38178,10.40312,GRA
DK-MkR,Morke E-RG,Søren O. Petersen,56.38179,10.4006,CRO
DK-RCT,Risø Campus Tower,Andreas Ibrom,55.694101,12.088284,URB
DK-RCW,Risø Campus Willow ,Andreas Ibrom,55.680682,12.101398,DBF
DK-Ris,Risbyholm,Henrik Sogaard,55.53027778,12.09722222,CRO
DK-SkA,Skjern W-AR,Søren O. Petersen,55.93777,8.44656,CRO
DK-SkG,Skjern W-PG,Søren O. Petersen,55.94116,8.447355,GRA
DK-Skj,Skjern,Thomas Friborg,55.9127,8.4048,WET
DK-Sor,Soroe,Andreas Ibrom,55.4858694,11.6446444,DBF
DK-SVA,Store Vildmose N-AR,Søren O. Petersen,57.23313,9.84435,CRO
DK-SVG,Store Vildmose N-PG,Søren O. Petersen,57.22988,9.83291,GRA
DK-SVR,Store Vildmose N-RG,Søren O. Petersen,57.23312,9.84462,CRO
DK-Ulb,Ulborg,Kim Pilegaard,56.29102778,8.428027778,ENF
DK-Vng,Voulundgaard,Thomas Friborg,56.0374765,9.16070962,CRO
EE-Aar,Aardlapalu grassland,Ülo Mander,58.31305,26.74388,GRA
EE-Aga,Agali Forest Station,Kaido Soosaar,58.287472,27.283525,DBF
EE-Hi1,Hiiesoo abandoned peat extraction,Ülo Mander,59.3505,27.1008,BSV
EE-Hi2,Hiiesoo active peat extraction,Ülo Mander,59.3519,27.1016,BSV
EE-Jvs,Järvselja,Steffen M. Noe,58.274211,27.309952,MF
EE-Ka1,Kasesoo abandoned peat extraction,Ülo Mander,59.1411,27.6531,BSV
EE-Ka2,Kasesoo active peat extraction,Ülo Mander,59.1459,27.6636,BSV
EE-Ka3,Kasesoo bog,Ülo Mander,59.1417,27.6778,WET
EE-Ku1,Kuresoo bog wooded,Ülo Mander,58.4736,25.2125,WET
EE-Ku2,Kuresoo bog,Ülo Mander,58.4744,25.2008,WET
EE-Lv1,Lavassaare abandoned peat extraction,Ülo Mander,58.5727,24.3819,BSV
EE-Lv2,Lavassaare drained fen,Ülo Mander,58.5719,24.3908,GRA
EE-Lv3,Lavassaare grass cultivation,Ülo Mander,58.573,24.3858,WET
EE-Mam,Maima bog,Ülo Mander,58.5791,24.4266,WET
EE-Pdv,Pudivere grassland,Ülo Mander,59.0866,26.3744,GRA
EE-Ph1,Puhatu abandoned peat extraction,Ülo Mander,59.2658,27.6316,BSV
EE-Ph2,Puhatu active peat extraction,Ülo Mander,59.2659,27.6314,BSV
EE-Rok,Roka,Ülo Mander,58.245336,27.299731,DBF
EE-San,Sangla bog forest,Ülo Mander,58.32704,26.21819,DBF
EE-Vg1,Valgeraba bog forest,Ülo Mander,58.43507,25.23629,DBF
EE-Vg2,Valgeraba bog,Ülo Mander,58.43662,25.23675,WET
ES-Abr,Albuera,Mirco Migliavacca,38.701839,-6.785881,SAV
ES-Agu,Aguamarga,Francisco Domingo Poveda,36.940046,-2.033208,OSH
ES-Amo,Amoladeras,Francisco Domingo Poveda,36.833608,-2.252318,OSH
ES-AP1,Almodóvar del Pinar 1,Eva María Rubio Caballero,39.680985,-1.842411111,ENF
ES-AP2,Almodóvar del Pinar 2,Eva María Rubio Caballero,39.67726984,-1.84830946,ENF
ES-CMb,Cuenca Las Majadas burned,Francisco Ramón López Serrano,40.25830581,-1.968060873,ENF
ES-CMu,Cuenca Las Majadas unburned,Francisco Raón López Serrano,40.25206923,-1.964783374,ENF
ES-Cnd,Conde,Sergio Aranda-Barranco,37.914998,-3.227659,EBF
ES-CPa,Cortes de Pallas,Arnaud Carrara,39.22417,-0.90305,OSH
ES-Cst,Castellar,Maria Teresa Sebastià,42.305014,2.033568,GRA
ES-Dnn,Doñana,Ricardo Díaz-Delgado,36.995549,-6.513203,WSA
ES-EBn,El Bonillo,Eva María Rubio Caballero,38.93706599,-2.64402303,WSA
ES-ES1,El Saler (Valencia),Maria Jose Sanz| Arnaud Carrara,39.34597222,-0.318805555,ENF
ES-ES2,El Saler-Sueca (Valencia),Maria Jose Sanz| Arnaud Carrara,39.27555556,-0.315277778,CRO
ES-FcO,Finca Oran,José González Piqueras,38.823638,-1.85977,CRO
ES-FtD,FuenteDuque,Nestor Fernandez,36.99818,-6.434566,WET
ES-Gdn,Guadiana,Penelope Serrano,37.910917,-3.228444,EBF
ES-LBr,La Bertolina,Maria Teresa Sebastià,42.098889,1.661389,GRA
ES-LgS,Laguna Seca,Borja Ruiz Reverter,37.097936,-2.965833,OSH
ES-LJu,Llano de los Juanes,Penelope Serrano,36.926594,-2.752115,OSH
ES-LM1,Majadas del Tietar North,Mirco Migliavacca,39.94269,-5.778683,SAV
ES-LM2,Majadas del Tietar South,Mirco Migliavacca,39.934592,-5.775881,SAV
ES-LMa,Las Majadas del Tietar (Caceres),Arnaud Carrara,39.9415,-5.773361111,SAV
ES-Ln1,Lanjaron-Non intervention,Andrew Kowalski,36.972098,-3.473851,OSH
ES-Ln2,Lanjaron-Salvage logging,Borja Ruiz Reverter,36.969502,-3.475819,OSH
ES-LTs,Las Tiesas Experimental Farm,Juan Manuel Sánchez,39.042395,-2.089033,CRO
ES-MtN,MonteNegro,Nestor Fernandez,36.991805,-6.482628,CSH
ES-Pdu,Padul,Penelope Serrano,37.016975,-3.609228,WET
ES-PRt,Pla de Riart,Maria Teresa Sebastià,42.063333,1.513333,GRA
ES-QdM,Quintos de Mora,Jose Manuel Moreno,39.42690514,-4.117171204,CSH
ES-SCf,Santa Clotilde forest,Maria P. Gonzalez-Dugo,38.210142,-4.287495,SAV
ES-SCg,Santa Clotilde grassland,Maria P. Gonzalez-Dugo,38.210163,-4.289965,SAV
ES-Tol,Toledo,Jose Manuel Moreno,39.86004722,-4.030063889,MF
ES-TzM,Tarazona de la Mancha,Juan Manuel Sánchez,39.26597,-1.939726,CRO
ES-VDA,Vall d' Alinyà (Lleida),Arnaud Carrara,42.15218,1.4485,GRA
ES-Yst,Yeste,Francisco Ramón López Serrano,38.33893358,-2.350605236,ENF
ES-Zam,Zambrana,Silvia Cosin,42.9325,-2.853055556,CRO
FI-Alk,Alkkia,Tuomas Laurila,62.183367,22.784233,ENF
FI-Hy2,Hyytiala Clear Cut,Narasinha Shurpali,61.84385,24.30433333,BSV
FI-Hyy,Hyytiala,Timo Vesala| EFDC Staff| Ivan Mammarella,61.84741,24.29477,ENF
FI-Jo2,Jokioinen2,Kristiina Regina,60.89903,23.5128,CRO
