ID,IGBP,LAT,LON,START,END,IRGA,SA,INST_H,CANOPY_H,KOPPEN,ELEV,PLANT,COUNTRY,LAND,SYSTEMS,HEIGHT_R,TIER
FI-Hyy,ENF,61.84741,24.29477,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,Solent 1012R2,23.3,14.0,Dfc - Snow fully humid cool summer,185,Evergreen Needleleaf Trees,Finland,Europe,C,1.6642857142857144,1
FI-Jok,CRO,60.8986,23.51345,2000-01-01 00:00:00,2003-12-31 23:30:00,LI-6262,SA-ATI,3.0,0.2,Dfc - Snow fully humid cool summer,118,Broadleaf crop,Finland,Europe,C,15.0,1
FI-Let,ENF,60.64183,23.95952,2009-01-01 00:00:00,2012-12-31 23:30:00,LI-7000,USA-1/Metek,25.5,10.03,Dfb - Snow fully humid warm summer,128,Evergreen Needleleaf Trees,Finland,Europe,C,2.5423728813559325,1
FI-Lom,WET,67.99724,24.20918,2007-01-01 00:00:00,2009-12-31 23:30:00,LI-7000,USA-1 (METEK),3.0,0.4,Dfc - Snow fully humid cool summer,270,Grass,Finland,Europe,C,7.5,1
FI-Sod,ENF,67.36239,26.63859,2001-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,SWS 211,23.0,12.7,Dfc - Snow fully humid cool summer,188,Evergreen Needleleaf Trees,Finland,Europe,C,1.8110236220472442,1
FR-Fon,DBF,48.47636,2.7801,2005-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3,38.0,29.0,Cfb - Warm temperate fully humid with warm summer,94,Deciduous Broadleaf Trees,France,Europe,O,1.3103448275862069,1
FR-Gri,CRO,48.84422,1.95191,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,R3-50,3.17,2.0,Cfb - Warm temperate fully humid with warm summer,117,Cereal crop,France,Europe,O,1.585,1
FR-LBr,ENF,44.71711,-0.7693,1996-01-01 00:00:00,2008-12-31 23:30:00,LI-6262,Solent R2,25.0,18.0,Cfb - Warm temperate fully humid with warm summer,62,Shrub,France,Europe,C,1.3888888888888888,1
FR-Pue,EBF,43.7413,3.5957,2000-01-01 00:00:00,2014-12-31 23:30:00,LI 6262,Solent R2(1998-1999)/R3(2000-2001),11.0,6.0,"Csa - Warm temperate with dry, hot summer",211,Evergreen Needleleaf Trees,France,Europe,C,1.8333333333333333,1
GF-Guy,EBF,5.27877,-52.92486,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500(LI-7000 added in 2005),R3-50,52.0,35.0,"Af - Equatorial rainforest, fully humid",29,Evergreen Broadleaf Trees,French Guiana,South America,M,1.4857142857142858,1
GH-Ank,EBF,5.26854,-2.69421,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,Windmaster Pro,65.0,30.0,Am - Equatorial monsoon,76,Evergreen Broadleaf Trees,Ghana,Africa,C,2.1666666666666665,1
IT-BCi,CRO,40.52375,14.95744,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3,3.8,0.3,"Csa - Warm temperate with dry, hot summer",13,Cereal crop,Italy,Europe,O,12.666666666666666,1
IT-CA1,DBF,42.38041,12.02656,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,5.0,1.0,"Csa - Warm temperate with dry, hot summer",204,Cereal crop,Italy,Europe,O,5.0,1
IT-CA2,CRO,42.37722,12.02604,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500A,USA-1 (METEK),3.0,0.5,"Csa - Warm temperate with dry, hot summer",202,Cereal crop,Italy,Europe,O,6.0,1
IT-CA3,DBF,42.38,12.0222,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,5.0,1.0,"Csa - Warm temperate with dry, hot summer",199,Cereal crop,Italy,Europe,O,5.0,1
IT-Col,DBF,41.84936,13.58814,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,Gill,25.2,20.2,Cfa - Warm temperate fully humid with hot summer,1645,Deciduous Broadleaf Trees,Italy,Europe,C,1.2475247524752475,1
IT-Cp2,EBF,41.70427,12.35729,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,Windmaster,15.0,12.0,"Csa - Warm temperate with dry, hot summer",16,Evergreen Needleleaf Trees,Italy,Europe,C,1.25,1
IT-Cpz,EBF,41.70525,12.37611,1997-01-01 00:00:00,2009-12-31 23:30:00,LI-6262,R2,15.0,12.0,"Csa - Warm temperate with dry, hot summer",9,Evergreen Needleleaf Trees,Italy,Europe,C,1.25,1
IT-Isp,DBF,45.81264,8.63358,2013-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,HS-100,36.0,24.0,Cfb - Warm temperate fully humid with warm summer,220,Deciduous Broadleaf Trees,Italy,Europe,C,1.5,1
